name;kpgz_code;kpgz_name;okpd2_code;okpd2_name;ktru_code;ktru_name;stz;date_of_approval_of_the_tz;id_kpgz
Поставка продуктов питания;01.01.01.01.12;ГОРОХ ШЛИФОВАННЫЙ СУШЕННЫЙ;01.11.75.110;Зерно гороха;01.11.75.110-00000003;Горох шлифованный;Нет;2020-01-31 18:45;29576960
Поставка продуктов питания;01.01.01.01.13;ЧЕЧЕВИЦА СУШЕНАЯ;01.11.74.110;Зерно чечевицы;01.11.74.110-00000006;Чечевица продовольственная;Нет;2020-01-31 18:45;29423982
Поставка продуктов питания;01.01.01.01.14;КРУПА ПОЛБА;10.61.31;Крупа и мука грубого помола из пшеницы;-;;Нет;2020-01-31 18:45;29394129
Поставка продуктов питания;01.01.01.01.15;НУТ СУШЕНЫЙ;01.11.73.110;Зерно нута;-;;Нет;2020-01-31 18:45;29394178
Поставка продуктов питания;01.01.01.01.16;ФАСОЛЬ СУШЕНАЯ;01.11.71.110;Зерно фасоли;01.11.71.110-00000004;Фасоль продовольственная;Нет;2020-01-31 18:45;29576963
Поставка продуктов питания;01.01.01.01.17;ТОЛОКНО;10.61.32.112;Толокно;-;;Нет;2020-01-31 18:45;29394185
Поставка продуктов питания;01.01.01.02.01.01;МУКА ПШЕНИЧНАЯ;10.61.21.110;Мука пшеничная;10.61.21.110-00000001;Мука пшеничная;Нет;2020-01-31 18:45;29555818
Поставка продуктов питания;01.01.01.02.01.03.01;МУКА ПШЕНИЧНО-РЖАНАЯ;10.61.21.120;Мука пшенично-ржаная;-;;Нет;2020-01-31 18:45;29394194
Поставка продуктов питания;01.01.01.02.01.03.02;МУКА РЖАНО-ПШЕНИЧНАЯ;10.61.21.120;Мука пшенично-ржаная;-;;Нет;2020-01-31 18:45;29394219
Поставка продуктов питания;01.01.01.02.01.04;МУКА ОВСЯНАЯ;10.61.22.160;Мука овсяная;-;;Нет;2020-01-31 18:45;29394233
Поставка продуктов питания;01.01.01.02.01.05;МУКА РЖАНАЯ;10.61.22.110;Мука ржаная;10.61.22.110-00000001;Мука ржаная;Нет;2020-01-31 18:45;29424000
Поставка продуктов питания;01.01.01.02.01.06;МУКА ЯЧМЕННАЯ;10.61.22.140;Мука ячменная;-;;Нет;2020-01-31 18:45;29394241
Поставка продуктов питания;01.01.01.02.01.07;МУКА КУКУРУЗНАЯ;10.61.22.120;Мука кукурузная;10.61.22.120-00000001;Мука кукурузная;Нет;2020-01-31 18:45;29424005
Поставка продуктов питания;01.01.01.02.01.08;МУКА СОЕВАЯ;10.61.22.170;Мука соевая;-;;Нет;2020-01-31 18:45;29394337
Поставка продуктов питания;01.01.01.02.01.09;МУКА ГОРОХОВАЯ;10.61.22.180;Мука гороховая;-;;Нет;2020-01-31 18:45;29394341
Поставка продуктов питания;01.01.01.02.01.10;МУКА ГРЕЧНЕВАЯ;10.61.22.150;Мука гречневая;-;;Нет;2020-01-31 18:45;29394346
Поставка продуктов питания;01.01.01.02.01.11;МУКА РИСОВАЯ;10.61.22.130;Мука рисовая;-;;Нет;2020-01-31 18:45;29394352
Поставка продуктов питания;01.01.01.02.01.12;МУКА ЛЬНЯНАЯ;10.61.23.000;Мука тонкого и грубого помола из овощных и других растительных культур;-;;Нет;2020-01-31 18:45;29394356
Поставка продуктов питания;01.01.01.02.01.13;МУКА ПОЛБЯНАЯ;10.61.21.119;Мука пшеничная прочая;-;;Нет;2020-01-31 18:45;29394361
Поставка продуктов питания;01.01.01.02.01.14;МУКА НУТОВАЯ;10.61.23.000;Мука тонкого и грубого помола из овощных и других растительных культур;-;;Нет;2020-01-31 18:45;29394367
Поставка продуктов питания;01.01.01.02.01.15;МУКА ЧЕЧЕВИЧНАЯ;10.61.23.000;Мука тонкого и грубого помола из овощных и других растительных культур;-;;Нет;2020-01-31 18:45;29394374
Поставка продуктов питания;01.01.01.02.01.16;МУКА ПШЕННАЯ;10.61.32.124;Мука грубого помола из проса;-;;Нет;2020-01-31 18:45;29394379
Поставка продуктов питания;01.01.01.02.01.17;МУКА ИЗ СЕМЯН РАСТОРОПШИ;10.61.23.000;Мука тонкого и грубого помола из овощных и других растительных культур;-;;Нет;2020-01-31 18:45;29394383
Поставка продуктов питания;01.01.01.02.01.18;МУКА ИЗ СЕМЯН ТЫКВЫ;10.61.23.000;Мука тонкого и грубого помола из овощных и других растительных культур;-;;Нет;2020-01-31 18:45;29394387
Поставка продуктов питания;01.01.01.02.01.19;МУКА АМАРАНТОВАЯ;10.61.23.000;Мука тонкого и грубого помола из овощных и других растительных культур;-;;Нет;2020-01-31 18:45;29394404
Поставка продуктов питания;01.01.01.02.01.20;МУКА, ХЛОПЬЯ, ГРАНУЛЫ КАРТОФЕЛЬНЫЕ;10.31.13;Мука, хлопья и гранулы из картофеля, в том числе из сушеного картофеля;10.31.13.000-00000004;Продукция из сушеного картофеля;Нет;2020-01-31 18:45;29424009
Поставка продуктов питания;01.01.01.02.01.21;МУКА ЧЕРЕМУХОВАЯ;10.61.23.000;Мука тонкого и грубого помола из овощных и других растительных культур;-;;Нет;2020-01-31 18:45;29394412
Поставка продуктов питания;01.01.01.02.01.22;МУКА (ПУДРА)МИНДАЛЬНАЯ;10.61.23.000;Мука тонкого и грубого помола из овощных и других растительных культур;-;;Нет;2020-01-31 18:45;29394436
Поставка продуктов питания;01.01.01.02.01.23;МУКА ПШЕНИЧНАЯ ВИТАМИНИЗИРОВАННАЯ;10.61.21.119;Мука пшеничная прочая;-;;Нет;2020-01-31 18:45;29394442
Поставка продуктов питания;01.01.01.02.03.01;КРАХМАЛ;10.62.11.110;Крахмалы, кроме модифицированных;10.62.11.110-00000001;Крахмалы, кроме модифицированных;Нет;2020-01-31 18:45;29424013
Поставка продуктов питания;01.01.01.02.03.03;ПАТОКА КРАХМАЛЬНАЯ;10.62.13.150;Патока крахмальная;-;;Нет;2020-01-31 18:45;29394470
Поставка продуктов питания;01.01.01.03;МЮСЛИ;10.61.33.140;Продукты из зерновых хлопьев готовые взорванные или необжаренные или их смесей с обжаренными зерновыми хлопьями;-;;Нет;2020-01-31 18:45;29394492
Поставка продуктов питания;01.01.01.04;ЗАВТРАКИ ГОТОВЫЕ;10.61.33;Продукты зерновые для завтрака и прочие продукты из зерновых культур;-;;Нет;2020-01-31 18:45;29394525
Поставка продуктов питания;01.01.01.05.01.04.01;САХАР БЕЛЫЙ СВЕКЛОВИЧНЫЙ;10.81.12.110;Сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок;10.81.12.110-00000001;Сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок;Нет;2020-01-31 18:45;29424023
Поставка продуктов питания;01.01.01.05.01.04.02;САХАР БЕЛЫЙ ТРОСТНИКОВЫЙ;10.81.12.120;Сахар белый тростниковый в твердом состоянии без вкусоароматических или красящих добавок;10.81.12.120-00000008;"Сахар белый тростниковый в твердом состоянии без вкусоароматических или красящих добавок
";Нет;2020-01-31 18:45;29424027
Поставка продуктов питания;01.01.01.05.01.05.01;САХАР КОРИЧНЕВЫЙ СВЕКЛОВИЧНЫЙ;10.81.19.122;Сахар коричневый свекловичный в твердом состоянии без вкусоароматических или красящих добавок;-;;Нет;2020-01-31 18:45;29394548
Поставка продуктов питания;01.01.01.05.01.05.02;САХАР КОРИЧНЕВЫЙ ТРОСТНИКОВЫЙ;10.81.19.121;Сахар коричневый тростниковый в твердом состоянии без вкусоароматических или красящих добавок;-;;Нет;2020-01-31 18:45;29395044
Поставка товаров;01.01.01.05.01.06;САХАР-СЫРЕЦ В ТВЕРДОМ СОСТОЯНИИ;10.81.11;Сахар-сырец свекловичный или тростниковый в твердом состоянии;10.81.11.000-00000001;Сахар-сырец в твердом состоянии;Да;2023-04-14 10:04;29274122
Поставка продуктов питания;01.01.01.05.02;СОЛЬ ПИЩЕВАЯ;10.84.30;Соль пищевая;10.84.30.000-00000009;Соль пищевая;Нет;2020-01-31 18:45;29424031
Поставка продуктов питания;01.01.01.05.03;ЗАМЕНИТЕЛИ САХАРА;10.62.13;"Глюкоза и сироп из глюкозы; фруктоза и сироп из фруктозы; сахар инвертный; сахар и сиропы сахарные, не включенные в другие группировки";-;;Нет;2020-01-31 18:45;29395089
Поставка продуктов питания;01.01.01.06.01;СОУСЫ НА БУЛЬОНЕ;10.84.12.150;Приправы и пряности смешанные;-;;Нет;2020-01-31 18:45;29395110
Поставка продуктов питания;01.01.01.06.03;ПАСТЫ ТОМАТНЫЕ;10.39.17.112;Паста томатная;-;;Нет;2020-01-31 18:45;29395134
Поставка продуктов питания;01.01.01.06.04;СОУСЫ НА ОСНОВЕ ХРЕНА;10.84.12.180;Хрен готовый;-;;Нет;2020-01-31 18:45;29395579
Поставка продуктов питания;01.01.01.06.05;СОУСЫ НА ОСНОВЕ МОЛОКА И МОЛОЧНЫХ ПРОДУКТОВ;10.51.56.100;Продукты молочные, молочные составные, не включенные в другие группировки;-;;Нет;2020-01-31 18:45;29395614
Поставка продуктов питания;01.01.01.06.06;СОУСЫ НА СЛИВОЧНОМ МАСЛЕ;10.51.30.120;Масло сливочное с вкусовыми компонентами;-;;Нет;2020-01-31 18:45;29395641
Поставка продуктов питания;01.01.01.06.07;СОУСЫ НА РАСТИТЕЛЬНОМ МАСЛЕ;10.84.12.190;Соусы и кремы на растительных маслах прочие;-;;Нет;2020-01-31 18:45;29395668
Поставка продуктов питания;01.01.01.06.08;СОУСЫ НА УКСУСЕ;10.84.12.150;Приправы и пряности смешанные;-;;Нет;2020-01-31 18:45;29395716
Поставка продуктов питания;01.01.01.06.09.01;КЕТЧУПЫ;10.84.12.120;Кетчуп и соусы томатные прочие;10.84.12.120-00000006;Кетчуп;Нет;2020-01-31 18:45;29424040
Поставка продуктов питания;01.01.01.06.09.02;ОВОЩНЫЕ СОУСЫ;10.84.12;"Соусы; приправы и пряности смешанные; мука и порошок горчичные; горчица готовая";-;;Нет;2020-01-31 18:45;29395733
Поставка продуктов питания;01.01.01.06.10;СОУСЫ СОЕВЫЕ;10.84.12.110;Соус соевый;-;;Нет;2020-01-31 18:45;29395770
Поставка продуктов питания;01.01.01.06.11;СОУСЫ ФРУКТОВЫЕ И ЯГОДНЫЕ, СОУСЫ-ТОППИНГИ ДЕСЕРТНЫЕ;10.62.13.190;"Сахар и сиропы сахарные, не включенные в другие группировки
10.39.22.130 Пюре и пасты фруктовые, ягодные и ореховые";-;;Нет;2020-01-31 18:45;29395797
Поставка продуктов питания;01.01.01.06.12.01;МАЙОНЕЗ;10.84.12.130;Майонезы;10.84.12.130-00000003;Майонез;Нет;2020-01-31 18:45;29424045
Поставка продуктов питания;01.01.01.06.12.02;СОУСЫ МАЙОНЕЗНЫЕ;10.84.12.140;Соусы майонезные;-;;Нет;2020-01-31 18:45;29395811
Поставка продуктов питания;01.01.01.07;МЕД;01.49.21.110;Мед натуральный пчелиный;01.49.21.110-00000004;Мед натуральный пчелиный;Нет;2020-01-31 18:45;29424048
Поставка продуктов питания;01.01.01.11;МАКАРОНЫ, ЛАПША И АНАЛОГИЧНЫЕ МУЧНЫЕ ИЗДЕЛИЯ;10.73.11;Изделия макаронные и аналогичные мучные изделия;10.73.11.000-00000013;Изделия макаронные;Нет;2020-01-31 18:45;29424052
Поставка продуктов питания;01.01.01.12.01.01;МАСЛО ПОДСОЛНЕЧНОЕ РАФИНИРОВАННОЕ;10.41.54;Масло подсолнечное и его фракции рафинированные, но не подвергнутые химической модификации;10.41.54.000-00000001;Масло подсолнечное рафинированное;Нет;2020-01-31 18:45;29720180
Поставка продуктов питания;01.01.01.12.01.02;МАСЛО ПОДСОЛНЕЧНОЕ НЕРАФИНИРОВАННОЕ;10.41.24;Масло подсолнечное и его фракции нерафинированные;10.41.24.000-00000001;"Масло подсолнечное нерафинированное
";Нет;2020-01-31 18:45;29720185
Поставка продуктов питания;01.01.01.12.01.03;МАСЛО СОЕВОЕ;10.41;Масла и жиры;-;;Нет;2020-01-31 18:45;29718047
Поставка продуктов питания;01.01.01.12.01.04;МАСЛО ХЛОПКОВОЕ;10.41;Масла и жиры;-;;Нет;2020-01-31 18:45;29395856
Поставка продуктов питания;01.01.01.12.01.05;МАСЛО ЛЬНЯНОЕ;10.41;Масла и жиры;-;;Нет;2020-01-31 18:45;29395868
Поставка продуктов питания;01.01.01.12.01.06;МАСЛО ОЛИВКОВОЕ;10.41;Масла и жиры;-;;Нет;2020-01-31 18:45;29395911
Поставка продуктов питания;01.01.01.12.01.07;МАСЛО КУКУРУЗНОЕ;10.41;Масла и жиры;-;;Нет;2020-01-31 18:45;29395929
Поставка продуктов питания;01.01.01.12.01.08;МАСЛО ТЫКВЕННОЕ;10.41;Масла и жиры;-;;Нет;2020-01-31 18:45;29395962
Поставка продуктов питания;01.01.01.12.01.09;МАСЛО КУНЖУТНОЕ;10.41;Масла и жиры;-;;Нет;2020-01-31 18:45;29395974
Поставка продуктов питания;01.01.01.12.02.01;ЖИР БАРАНИЙ, ГОВЯЖИЙ, КОЗИЙ, СВИНОЙ;10.11.50;Жиры крупного рогатого скота, овец, коз и свиней;-;;Нет;2020-01-31 18:45;29054304
Поставка продуктов питания;01.01.01.12.02.02;ЖИР МОЛОЧНЫЙ;10.51.30.400;Жир молочный;-;;Нет;2020-01-31 18:45;29395991
Поставка продуктов питания;01.01.01.12.03.01;МАРГАРИН;10.42.10.110;Маргарин;10.42.10.110-00000004;Маргарин;Нет;2020-01-31 18:45;29424312
Поставка продуктов питания;01.01.01.12.03.02;МАСЛА КОМБИНИРОВАННЫЕ;10.42.10;Маргарин, спреды растительно-сливочные и растительно-жировые, смеси топленые растительно-сливочные и растительно-жировые, жиры специального назначения, заменители молочного жира, эквиваленты, улучшители, заменители масла какао;-;;Нет;2020-01-31 18:45;29396013
Поставка продуктов питания;01.01.01.12.04.01;МАСЛО СЛИВОЧНОЕ;10.51.30.110;Масло сливочное;10.51.30.110-00000001;Масло сливочное;Нет;2020-01-31 18:45;29424316
Поставка продуктов питания;01.01.01.12.04.02;МАСЛО СЛИВОЧНОЕ С ВКУСОВЫМИ КОМПОНЕНТАМИ;10.51.30.120;Масло сливочное с вкусовыми компонентами;10.51.30.120-00000001;Масло сливочное с вкусовыми компонентами;Нет;2020-01-31 18:45;29424321
Поставка продуктов питания;01.01.01.12.04.03;МАСЛО ТОПЛЕНОЕ;10.51.30.300;Масло топленое;-;;Нет;2020-01-31 18:45;29396025
Поставка продуктов питания;01.01.01.13.01;ПРИПРАВЫ И ПРЯНОСТИ СМЕШАННЫЕ;10.84.12.150;Приправы и пряности смешанные;10.84.12.150-00000046;Приправы и пряности смешанные;Нет;2020-01-31 18:45;29424327
Поставка продуктов питания;01.01.01.13.02.01;ВАНИЛЬ ОБРАБОТАННАЯ;10.84.23.120;Ваниль обработанная;10.84.23.120-00000001;Ваниль обработанная;Нет;2020-01-31 18:45;29564236
Поставка продуктов питания;01.01.01.13.02.02;ЛИСТ ЛАВРОВЫЙ СУШЕНЫЙ;10.84.23.164;Лист лавровый обработанный;10.84.23.164-00000002;Лист лавровый сушеный;Нет;2020-01-31 18:45;29424375
Поставка продуктов питания;01.01.01.13.02.03;ПЕРЕЦ ОБРАБОТАННЫЙ;10.84.2;Пряности обработанные;10.84.20.000-00000004;Перец обработанный;Нет;2020-01-31 18:45;29424377
Поставка продуктов питания;01.01.01.13.02.99;ПРЯНОСТИ ОБРАБОТАННЫЕ ПРОЧИЕ;10.84;Приправы и пряности;-;;Нет;2020-01-31 18:45;29396092
Поставка продуктов питания;01.01.01.14.01.01;УКСУС ПИЩЕВОЙ И ЕГО ЗАМЕНИТЕЛИ, ПОЛУЧАЕМЫЕ ИЗ УКСУСНОЙ КИСЛОТЫ;10.84.11.000;Уксус и его заменители, получаемые из уксусной кислоты;10.84.11.000-00000002;Уксус пищевой;Нет;2020-01-31 18:45;29424381
Поставка продуктов питания;01.01.01.14.01.02;КИСЛОТА УКСУСНАЯ ПИЩЕВАЯ;10.84.11.000;Уксус и его заменители, получаемые из уксусной кислоты;10.84.11.000-00000007;Кислота уксусная;Нет;2020-01-31 18:45;29424383
Поставка продуктов питания;01.01.01.14.02.01;ПОРОШОК ГОРЧИЧНЫЙ;10.84.12.160;Мука и порошок горчичные;-;;Нет;2020-01-31 18:45;29396161
Поставка продуктов питания;01.01.01.14.02.02;ГОРЧИЦА ГОТОВАЯ;10.84.12.170;Горчица готовая;-;;Нет;2020-01-31 18:45;29400230
Поставка продуктов питания;01.01.01.16.01.01;ОРЕХИ ГРЕЦКИЕ;01.25.35.000;Орехи грецкие;01.25.35.000-00000004;Орех грецкий;Нет;2020-01-31 18:45;29555827
Поставка продуктов питания;01.01.01.16.01.02;ОРЕХИ КЕДРОВЫЕ;01.25.39.000;Орехи прочие, не включенные в другие группировки;-;;Нет;2020-01-31 18:45;29400234
Поставка продуктов питания;01.01.01.16.01.03;ОРЕХИ МИНДАЛЯ СЛАДКОГО;01.25.31.000;Миндаль;-;;Нет;2020-01-31 18:45;29400238
Поставка продуктов питания;01.01.01.16.01.04;ОРЕХИ ЛЕЩИНЫ (ФУНДУК);01.25.33.000;Фундук;-;;Нет;2020-01-31 18:45;29400242
Поставка продуктов питания;01.01.01.16.01.05;ОРЕХИ ФИСТАШКОВЫЕ;01.25.34.000;Фисташки;-;;Нет;2020-01-31 18:45;29400246
Поставка продуктов питания;01.01.01.16.01.06;ОРЕХИ КЕШЬЮ;01.25.39.000;Орехи прочие, не включенные в другие группировки;-;;Нет;2020-01-31 18:45;29400253
Поставка продуктов питания;01.01.01.16.01.07;ОРЕХИ ПЕКАН;01.25.39.000;Орехи прочие, не включенные в другие группировки;-;;Нет;2020-01-31 18:45;29400260
Поставка продуктов питания;01.01.01.16.01.08;ОРЕХИ КОКОСОВЫЕ;01.26.20.000;Орехи кокосовые;-;;Нет;2020-01-31 18:45;29400264
Поставка продуктов питания;01.01.01.16.01.09;ОРЕХИ БРАЗИЛЬСКИЕ;01.25.39.000;Орехи прочие, не включенные в другие группировки;-;;Нет;2020-01-31 18:45;29400268
Поставка продуктов питания;01.01.01.16.01.10;ОРЕХИ КАШТАНА СЪЕДОБНОГО;01.25.32.000;Каштаны;-;;Нет;2020-01-31 18:45;29400272
Поставка продуктов питания;01.01.01.16.01.11;ОРЕХИ МАКАДАМИЯ;01.25.39.000;Орехи прочие, не включенные в другие группировки;-;;Нет;2020-01-31 18:45;29400276
Поставка продуктов питания;01.01.01.16.01.12;СМЕСИ ПЛОДОВ ОРЕХОВЫХ КУЛЬТУР;01.25.39.000;Орехи прочие, не включенные в другие группировки;-;;Нет;2020-01-31 18:45;29400280
Поставка продуктов питания;01.01.01.16.02;АРАХИС СВЕЖИЙ;01.11.8;Бобы соевые, орехи земляные, семена хлопка;-;;Нет;2020-01-31 18:45;29400286
Поставка продуктов питания;01.01.01.16.03;ПЛОДЫ ОРЕХОВЫХ КУЛЬТУР ОБРАБОТАННЫЕ, ПАСТА ОРЕХОВАЯ;10.39.2;Фрукты и орехи, переработанные и консервированные;-;;Нет;2020-01-31 18:45;29400311
Поставка продуктов питания;01.01.01.17;СЕМЕНА МАСЛИЧНЫЕ И МАСЛОСОДЕРЖАЩИЕ ПЛОДЫ;01.11.9;Семена льна, горчицы, рапса, сурепицы, кунжута, подсолнечника и семена прочих масличных культур, не включенные в другие группировки;-;;Нет;2020-01-31 18:45;29400352
Поставка продуктов питания;01.01.01.18;КОМПЛЕКСНЫЕ ПИЩЕВЫЕ ДОБАВКИ;10.89.1;"Супы, яйца, дрожжи и продукты пищевые прочие; экстракты и соки из мяса, рыбы и водных беспозвоночных";-;;Нет;2020-01-31 18:45;29400434
Поставка продуктов питания;01.01.01.19.01.01;ФИТОЧАЙ;10.83.15.000;Настои из трав;-;;Нет;2020-01-31 18:45;29400485
Поставка продуктов питания;01.01.01.19.01.02;ЧАЙНЫЕ НАПИТКИ РАСТВОРИМЫЕ;10.83.14.130;Концентраты на основе чая или мате;-;;Нет;2020-01-31 18:45;29400474
Поставка продуктов питания;01.01.01.19.01.03;ЧАЙ ЗЕЛЕНЫЙ (НЕФЕРМЕНТИРОВАННЫЙ);10.83.13.110;Чай зеленый (неферментированный) в упаковках массой не более 3 кг;-;;Нет;2020-01-31 18:45;29396948
Поставка продуктов питания;01.01.01.19.01.04;ЧАЙ ЧЕРНЫЙ (ФЕРМЕНТИРОВАННЫЙ);10.83.13.120;Чай черный (ферментированный) в упаковках массой не более 3 кг;10.83.13.120-00000001;Чай черный (ферментированный);Нет;2020-01-31 18:45;29424396
Поставка продуктов питания;01.01.01.19.01.07;ЧАЙ ФРУКТОВЫЙ, ЧАЙ ЧАСТИЧНО ФЕРМЕНТИРОВАННЫЙ, ЧАЙ ПУЭР, ЧАЙ МАТЕ;10.83.13.120;Чай черный (ферментированный) в упаковках массой не более 3 кг;-;;Нет;2020-01-31 18:45;29396958
Поставка продуктов питания;01.01.01.19.01.08;ЧАЙ В НАБОРАХ;10.83.14.140;Продукты готовые на основе чая или мате;-;;Нет;2020-01-31 18:45;29396967
Поставка продуктов питания;01.01.01.19.01.09;ЧАЙ ХОЛОДНЫЙ;11.07;"Напитки безалкогольные; минеральные воды и прочие питьевые воды в бутылках";-;;Нет;2020-01-31 18:45;29396971
Поставка продуктов питания;01.01.01.19.02;КОФЕ ЖАРЕНЫЙ;10.83.11.120;Кофе жареный;10.83.11.120-00000004;Кофе жареный;Нет;2020-01-31 18:45;29424400
Поставка продуктов питания;01.01.01.19.03;КОФЕЙНЫЙ НАПИТОК РАСТВОРИМЫЙ;10.83.12.120;Экстракты, эссенции и концентраты кофе или заменителей кофе;10.83.12.120-00000001;"Кофейный напиток растворимый
";Нет;2020-01-31 18:45;29424413
Поставка продуктов питания;01.01.01.19.04;КАКАО-ПОРОШОК;10.82.14.000;Порошок какао с добавками сахара или других подслащивающих веществ;10.82.14.000-00000001;Какао-порошок;Нет;2020-01-31 18:45;29424428
Поставка продуктов питания;01.01.01.19.05.01;ЦИКОРИЙ РАСТВОРИМЫЙ;10.83.12.110;Заменители кофе;10.83.12.110-00000001;Цикорий растворимый;Нет;2020-01-31 18:45;29424437
Поставка продуктов питания;01.01.01.19.05.02;ЦИКОРИЙ РАСТВОРИМЫЙ, ЖИДКИЙ ЭКСТРАКТ;10.83.12.120;Экстракты, эссенции и концентраты кофе или заменителей кофе;-;;Нет;2020-01-31 18:45;29396976
Поставка продуктов питания;01.01.01.19.06;КОФЕ РАСТВОРИМЫЙ;10.83.12.120;Экстракты, эссенции и концентраты кофе или заменителей кофе;10.83.12.120-00000006;Кофе растворимый;Нет;2020-01-31 18:45;29424441
Поставка продуктов питания;01.01.01.19.07;КОФЕ БЕЗ КОФЕИНА;10.83.11.110;Кофе без кофеина;10.83.11.110-00000001;Кофе без кофеина;Нет;2020-01-31 18:45;29424445
Поставка продуктов питания;01.01.01.19.08;ЭССЕНЦИЯ КОФЕЙНАЯ;10.83.11.120;Кофе жареный;-;;Нет;2020-01-31 18:45;29396979
Поставка продуктов питания;01.01.01.19.09;КОФЕ, ЖИДКИЙ ЭКСТРАКТ;10.83.11.120;Кофе жареный;-;;Нет;2020-01-31 18:45;29396982
Поставка продуктов питания;01.01.01.19.10;НАПИТКИ РАСТВОРИМЫЕ НА ОСНОВЕ КАКАО ПОРОШКА;10.82.14;Порошок какао с добавками сахара или других подслащивающих веществ;-;;Нет;2020-01-31 18:45;29396985
Поставка продуктов питания;01.01.01.21.01;ДРОЖЖИ ХЛЕБОПЕКАРНЫЕ ПРЕССОВАННЫЕ;10.89.13.111;Дрожжи хлебопекарные прессованные;10.89.13.111-00000001;Дрожжи хлебопекарные прессованные;Нет;2020-01-31 18:45;29424451
Поставка продуктов питания;01.01.01.21.02;ДРОЖЖИ ХЛЕБОПЕКАРНЫЕ СУШЕНЫЕ;10.89.13.112;Дрожжи хлебопекарные сушеные;10.89.13.112-00000001;Дрожжи хлебопекарные сушеные;Нет;2020-01-31 18:45;29424454
Поставка продуктов питания;01.01.02.01.01.01;КАРТОФЕЛЬ ПРОДОВОЛЬСТВЕННЫЙ;01.13.51;Картофель;01.13.51.000-00000003;Картофель продовольственный;Нет;2020-01-31 18:45;29424457
Поставка продуктов питания;01.01.02.01.01.02;БАТАТ (КАРТОФЕЛЬ СЛАДКИЙ);01.13.52.000;Батат (картофель сладкий);-;;Нет;2020-01-31 18:45;29396992
Поставка продуктов питания;01.01.02.01.02;КАРТОФЕЛЬ ПЕРЕРАБОТАННЫЙ;10.31.1;Картофель переработанный и консервированный;-;;Нет;2020-01-31 18:45;29396996
Поставка продуктов питания;01.01.02.02.01;ЛУК ЗЕЛЕНЫЙ;01.13.43.190;Культуры овощные луковичные прочие;01.13.43.190-00000003;Лук свежий зеленый;Нет;2020-01-31 18:45;29424459
Поставка продуктов питания;01.01.02.02.02;ЛУК-ПОРЕЙ;01.13.44.000;Лук-порей и прочие культуры овощные луковичные;-;;Нет;2020-01-31 18:45;29397004
Поставка продуктов питания;01.01.02.02.03;ЛУК РЕПЧАТЫЙ;01.13.43.110;Лук репчатый;01.13.43.110-00000003;Лук репчатый;Нет;2020-01-31 18:45;29424462
Поставка продуктов питания;01.01.02.02.04;ЛУК-ШАЛОТ;01.13.43.120;Лук-шалот;-;;Нет;2020-01-31 18:45;29397008
Поставка продуктов питания;01.01.02.02.05;ЛУК-ШНИТТ;01.13.43.190;Культуры овощные луковичные прочие;-;;Нет;2020-01-31 18:45;29397012
Поставка продуктов питания;01.01.02.03;ЧЕСНОК;01.13.42.000;Чеснок;01.13.42.000-00000004;Чеснок свежий;Нет;2020-01-31 18:45;29424464
