name;CODE;final_kpgz;is_standard_product;IS_CHILD_kpgz;DELETED_DATE;kpgz_sum;kpgz223_sum;kpgz44_sum;con_count;con223_count;con44_count;customer_count;supplier_count;max_con_ID;max_con_sum;max_customer_con_count;max_customer_sum;max_customer_ID;formatted_name;max_supplier_sum
БУРЫ;01.11.02.09.01.02;;11;;;18626198.07;6745935.32;11880262.75;116;49;67;81;71;4899871;4427748;362;1452300138;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;12058141.2
СТАНЦИИ ТЕЛЕФОННЫЕ АВТОМАТИЧЕСКИЕ;01.13.09.03.09;;11;;;11867148.7;;11867148.7;8;0;8;7;7;4374951;2866678.64;272;1183135488;1673;Государственное бюджетное учреждение города Москвы «Станция скорой и неотложной медицинской помощи им. А.С. Пучкова» Департамента здравоохранения города Москвы;2999313.1
УНИТАЗЫ;01.11.01.04.01;;11;;;14947621.36;3093629.76;11853991.6;177;31;146;150;76;4488390;1390000;1414;5759725733;7708;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 67 имени Л. А. Ворохобова Департамента здравоохранения города Москвы»;33646685.05
ОБОРУДОВАНИЕ ДЛЯ РАБОТЫ СО ШТРИХ-КОДАМИ, РАДИОМЕТКАМИ И ЭТИКЕТКАМИ;01.13.11.04;;11;;;457626393.7;445946783.3;11679610.37;26;4;22;21;20;4670109;445760009.8;351;17212745191;4612903;"Акционерное общество ""Объединенная энергетическая компания""";1192129926
ТЕЛЕЖКА АНЕСТЕЗИОЛОГИЧЕСКАЯ;01.02.11.03.17.03;;11;;;10436851.99;;10436851.99;9;0;9;7;8;4398440;2945490.68;1356;4686924626;3322;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени С.С. Юдина Департамента здравоохранения города Москвы»;88427929.23
ПЕРФОРАТОРЫ;01.11.02.01.01;;11;;;33082122.45;23640212.84;9441909.61;167;70;97;111;100;4429984;4699580.43;2238;85801161702;4612763;"Ао ""Мосводоканал""";76625250.97
СТОЛ ДЛЯ ОСМОТРА/ТЕРАПЕВТИЧЕСКИХ ПРОЦЕДУР, МЕХАНИЧЕСКИЙ;01.02.11.03.09.03;;11;;;7777722.32;;7777722.32;22;0;22;21;8;4402416;1057661.34;84;138731889.9;6772;Государственное бюджетное учреждение здравоохранения города Москвы «Диагностический центр № 5 с поликлиническим отделением Департамента здравоохранения города Москвы»;110703656.9
СВЕРЛА СПИРАЛЬНЫЕ;01.11.02.09.01.01.02;;11;;;12652792.5;4969436.66;7683355.84;109;54;55;71;79;4863016;1163305;48;106241558.8;3287;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический колледж имени П.А. Овчинникова»;9825668.11
КАТАЛКА СИДЯЧАЯ АДАПТАЦИОННАЯ;01.02.11.03.05.04;;11;;;6205951.81;;6205951.81;6;0;6;3;3;4097209;2865554.99;1487;13656678141;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;190916460.1
АРМАТУРА КРЕПЕЖНАЯ ДЛЯ АВТОТРАНСПОРТНЫХ СРЕДСТВ;01.09.08.01.01;;6;;;1;1;0;1;1;0;1;1;4409370;1;105;363220808.8;4653888;Государственное бюджетное учреждение города Москвы «Жилищник района Вешняки»;30564564.17
ДИСКИ ДЛЯ ПИЛ ЦИРКУЛЯРНЫХ;01.11.02.09.07;;11;;;21125622.47;15100430.11;6025192.36;43;23;20;32;41;4609520;7599382.5;2238;85801161702;4612763;"Ао ""Мосводоканал""";76625250.97
СТОЛ/КУШЕТКА МАССАЖНЫЙ, БЕЗ ЭЛЕКТРОПИТАНИЯ, НЕПОРТАТИВНЫЙ;01.02.11.03.24.03;;11;;;5498445.21;;5498445.21;13;0;13;10;5;4447772;1035632;101;45094671.05;6016;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 145 Департамента здравоохранения города Москвы»;110703656.9
ШУРУПОВЕРТЫ;01.11.02.01.03;;11;;;15865294.36;10488661.81;5376632.55;147;54;93;107;89;4429984;3104677.02;2238;85801161702;4612763;"Ао ""Мосводоканал""";76625250.97
ТЕЛЕЖКА ДЛЯ МЕДИЦИНСКИХ ИНСТРУМЕНТОВ;01.02.11.03.17.04;;11;;;5370559.18;707635.2;4662923.98;14;1;13;11;11;4411480;1427526.54;84;87129003.92;5503;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 195 Департамента здравоохранения города Москвы»;54221522.03
КОМПЛЕКТЫ ИЗДЕЛИЙ ДЛЯ ОБОРУДОВАНИЯ САНИТАРНЫХ УЗЛОВ;01.11.01.04.08;;11;;11.10.2021;25594152.58;21303584.82;4290567.76;9;5;4;7;8;4374827;13120473.6;65;449893627.6;4681728;Государственное бюджетное учреждение города Москвы «Жилищник района Северный»;4000000
КРАСКОПУЛЬТЫ;01.11.02.01.06;;11;;;18211760.58;14058271.1;4153489.48;139;67;72;86;85;4609520;6542635.6;2238;85801161702;4612763;"Ао ""Мосводоканал""";960411.46
ТЕЛЕЖКА БЕЛЬЕВАЯ;01.02.11.03.17.02;;11;;;3907604.82;;3907604.82;16;0;16;15;11;4657228;1191234.59;1631;6916342289;5911;Государственное бюджетное учреждение здравоохранения города Москвы городская клиническая больница имени С.П.Боткина Департамента здравоохранения города Москвы;121916713.5
ДАЛЬНОМЕРЫ ЛАЗЕРНЫЕ;01.11.02.03.08;;11;;;6289029.07;2917682.34;3371346.73;15;6;9;12;13;4606862;2661043.94;2238;85801161702;4612763;"Ао ""Мосводоканал""";247806609.5
РУКОМОЙНИКИ, УМЫВАЛЬНИКИ;01.11.01.04.07;;11;;;4600146.1;1283824.12;3316321.98;99;13;86;88;47;4457189;932506;2238;85801161702;4612763;"Ао ""Мосводоканал""";138257000.6
КЛЮЧИ, ГОЛОВКИ ГАЕЧНЫЕ;01.11.02.02.07.01;Yes;11;No;;2975046.19;2807882.77;167163.42;18;8;10;15;16;4321718;2351555.25;2238;85801161702;4612763;"Ао ""Мосводоканал""";7471632.52
USB-НАКОПИТЕЛИ ТВЕРДОТЕЛЬНЫЕ (ФЛЕШ-ДРАЙВЫ);01.13.05.06.02;;11;;;6060804.5;2977442.02;3083362.48;115;27;88;110;61;4585381;820200;2238;85801161702;4612763;"Ао ""Мосводоканал""";367922.67
КАБИНЫ ДУШЕВЫЕ;01.11.01.04.12;;11;;;13393217.83;10342168.89;3051048.94;21;9;12;16;21;4118590;8288823.3;2238;85801161702;4612763;"Ао ""Мосводоканал""";106712793.4
НАБОРЫ КИСТЕЙ МАЛЯРНЫХ;01.11.02.02.04.01;;11;;;3018132;18889.4;2999242.6;3;2;1;3;3;4457454;2999242.6;55;492870839.1;4702344;Государственное бюджетное учреждение города Москвы «Жилищник района Орехово-Борисово южное»;3011398.31
ЦЕПИ ДЛЯ ЭЛЕКТРО- И БЕНЗОПИЛ;01.11.02.09.06;;11;;;3233933.23;376203.87;2857729.36;37;6;31;34;32;4916743;878274.28;57;644759832.2;20193980;Государственное бюджетное учреждение города Москвы «Дирекция по обслуживанию территорий зеленого фонда троицкого и новомосковского административных округов города Москвы»;149982569.6
ФРЕЗЫ;01.11.02.09.02;;11;;;17229096.01;14447220.56;2781875.45;22;10;12;13;22;4490936;9568238.4;713;10971869960;4612901;"Акционерное общество ""Мосгаз""";28990362.41
МАШИНЫ УГЛОШЛИФОВАЛЬНЫЕ (БОЛГАРКИ);01.11.02.01.08.02;;11;;;5894243.54;3329437.27;2564806.27;48;19;29;40;41;4725748;1103345.55;2238;85801161702;4612763;"Ао ""Мосводоканал""";247806609.5
ОБОРУДОВАНИЕ КОММУТАЦИОННОЕ ДЛЯ ВОЛОКОННО-ОПТИЧЕСКИХ ЛИНИЙ СВЯЗИ;01.13.08.05;;11;;;2880997.93;913023.65;1967974.28;21;13;8;16;17;4886494;1577278.3;150;17047148432;4684258;Государственное казенное учреждение города Москвы «Информационный город»;5549375.39
НАКОПИТЕЛИ ТВЕРДОТЕЛЬНЫЕ ПРОЧИЕ (КРОМЕ ВСТРАИВАЕМЫХ);01.13.05.06.03;;11;;;12762277.46;10804721.03;1957556.43;22;9;13;20;21;4845665;5628424.89;713;10971869960;4612901;"Акционерное общество ""Мосгаз""";90323880.35
БИТЫ ДЛЯ ШУРУПОВЕРТОВ;01.11.02.09.03;;11;;;4753331.73;2867365.87;1885965.86;102;50;52;75;71;4899871;449934.59;139;1069405495;4653855;Государственное бюджетное учреждение города Москвы «Жилищник района Коньково»;29431969.78
ПРИНТЕРЫ СПЕЦИАЛИЗИРОВАННЫЕ ДЛЯ ПЕЧАТИ НЕ НА БУМАГЕ;01.13.04.02.01.06;;11;;;16038901.51;14289568.63;1749332.88;4;3;1;3;4;4245037;12809303.63;2238;85801161702;4612763;"Ао ""Мосводоканал""";15806211.95
ДУПЛИКАТОРЫ;01.13.11.01.02;;11;;;1649017.3;;1649017.3;5;0;5;5;5;4409898;565250;50;39756035.62;3158;Управа района Кузьминки города Москвы;2230262.1
ДРЕЛИ РУЧНЫЕ ЭЛЕКТРИЧЕСКИЕ;01.11.02.01.02.02;;11;;;8054303.83;6430571.49;1623732.34;61;25;36;43;44;4505229;1768723.13;2238;85801161702;4612763;"Ао ""Мосводоканал""";76625250.97
СТОЙКИ ДЛЯ МЕДИЦИНСКОЙ ТЕХНИКИ;01.02.11.03.21;;11;;;1612541.9;;1612541.9;8;0;8;8;8;4135162;735108.68;789;2018611717;7717;Государственное бюджетное учреждение здравоохранения города Москвы «Инфекционная клиническая больница № 2 Департамента здравоохранения города Москвы»;69735454
ПОДДОНЫ ДЛЯ ДУШЕВЫХ КОМНАТ;01.11.01.04.09;;11;;;2402717.04;924621.59;1478095.45;21;7;14;18;20;4539668;789599.99;794;12442662062;5104;Государственное бюджетное учреждение города Москвы по эксплуатации и ремонту инженерных сооружений «Гормост»;513311620
ГВОЗДОДЕРЫ;01.11.02.02.03.11;;11;;;1548084.56;112155.96;1435928.6;38;8;30;36;20;4724564;297040;132;650948695.7;4702402;Государственное бюджетное учреждение города Москвы «Жилищник района Отрадное»;35847969.02
КРЕСЛО ДЛЯ ОБЩЕГО ОСМОТРА/ТЕРАПЕВТИЧЕСКИХ ПРОЦЕДУР, МЕХАНИЧЕСКОЕ;01.02.11.03.01.03.02;;11;;;1444940.9;170933.32;1274007.58;13;2;11;13;8;4211769;303690.59;595;1632906376;2831;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени М.П. Кончаловского Департамента здравоохранения города Москвы»;11654978.78
ФРЕЗЕРЫ РУЧНЫЕ ЭЛЕКТРИЧЕСКИЕ;01.11.02.01.13;;11;;;1111259.12;;1111259.12;3;0;3;3;3;4381163;990173.31;84;200358113.1;559;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский индустриальный колледж»;23727249.22
ПИССУАРЫ;01.11.01.04.06;;11;;;1118597.47;26818.18;1091779.29;12;1;11;8;7;4587750;558406.27;215;1018959211;2119;Государственное бюджетное учреждение города Москвы «Доринвест»;34999956.46
КУРВИМЕТРЫ;01.11.02.03.09;;11;;;1334455.25;262503.57;1071951.68;9;3;6;7;9;4349802;544000;672;44922815801;5006;Государственное бюджетное учреждение города Москвы «Автомобильные дороги»;3051496.94
ЛОБЗИКИ ЭЛЕКТРИЧЕСКИЕ;01.11.02.01.04;;11;;;2880652.69;1871354.21;1009298.48;45;17;28;34;36;4429984;1144095.38;2238;85801161702;4612763;"Ао ""Мосводоканал""";207849491.7
ВАННЫ;01.11.01.04.03;;11;;;1038296.87;41270.88;997025.99;19;1;18;18;17;4281576;175000;91;581122264;7416;Государственное бюджетное учреждение города Москвы «Жилищник района Тверской»;85926036.83
НУТРОМЕРЫ;01.11.02.03.04;;11;;;964786.35;;964786.35;1;0;1;1;1;4373885;964786.35;25;69151295.74;443;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический техникум № 47 имени В.Г. Федорова»;6451488.96
УГОЛЬНИКИ;01.11.02.03.22;;11;;;1087978.7;129114.87;958863.83;8;5;3;8;8;4898567;925329.27;672;44922815801;5006;Государственное бюджетное учреждение города Москвы «Автомобильные дороги»;4173190.9
КЛЮЧИ МОМЕНТНЫЕ (ДИНАМОМЕТРИЧЕСКИЕ);01.11.02.02.07.01.06;;11;;;1315856.96;396607.75;919249.21;8;3;5;7;7;4778888;446467.95;53;148565914.9;4133;"Государственное бюджетное профессиональное образовательное учреждение города Москвы ""Колледж современных технологий имени Героя Советского союза М.Ф. Панова""";18141511.8
ЯЩИКИ ИНСТРУМЕНТАЛЬНЫЕ;01.11.02.08.01;;11;;;3779949.01;2865462.13;914486.88;40;33;7;28;29;4386594;685118.47;2238;85801161702;4612763;"Ао ""Мосводоканал""";960411.46
КЛЮЧИ ГАЕЧНЫЕ ТОРЦОВЫЕ;01.11.02.02.07.01.03;;11;;;756435.01;23573.8;732861.21;7;3;4;6;6;4812193;699390;672;44922815801;5006;Государственное бюджетное учреждение города Москвы «Автомобильные дороги»;57036383.82
ЭЛЕКТРОРУБАНКИ;01.11.02.01.09;;11;;;5305928.98;4667236.28;638692.7;36;19;17;35;24;4285478;1176266.97;138;724955623.6;6644;Государственное бюджетное учреждение города Москвы «Жилищник района Аэропорт»;217265292.7
КРАНЫ ВОДОРАЗБОРНЫЕ;01.11.01.04.10.02;;11;;;863797.75;241971.56;621826.19;20;12;8;13;16;4712217;375659;350;915830442.2;6534;Государственное бюджетное учреждение здравоохранения города Москвы «Госпиталь для ветеранов войн № 2 Департамента здравоохранения города Москвы»;27644797.17
ШТАНГЕНЦИРКУЛИ;01.11.02.03.11;;11;;;748797.13;194100.48;554696.65;12;4;8;12;12;4898567;342277.96;672;44922815801;5006;Государственное бюджетное учреждение города Москвы «Автомобильные дороги»;4173190.9
МУЛЬТИМЕТР;01.11.02.03.12;;11;;;901161.83;352399.31;548762.52;18;10;8;15;16;4921318;313280;818;11857168563;8981996;"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""";
ПИЛЫ ДЛЯ ОБРАБОТКИ ДЕРЕВА;01.11.02.01.11.02;;11;;;2682630.74;2174811.63;507819.11;39;21;18;34;25;4429984;489985.88;2238;85801161702;4612763;"Ао ""Мосводоканал""";207849491.7
ФЕНЫ СТРОИТЕЛЬНЫЕ;01.11.02.01.05;;11;;;1357644.89;881296;476348.89;33;10;23;31;22;4429984;732581.45;2238;85801161702;4612763;"Ао ""Мосводоканал""";207849491.7
ТИСКИ СЛЕСАРНЫЕ;01.11.02.02.03.09;;11;;;1016237.38;552432.92;463804.46;25;9;16;21;19;4739620;240000;818;11857168563;8981996;"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""";23270891.32
ОТВЕРТКИ, НАБОРЫ ОТВЕРТОК;01.11.02.02.07.02;;11;;;2948473.73;2542632.49;405841.24;61;30;31;47;39;4326174;1093741.92;451;3297908090;4612683;"Акционерное общество ""Мослифт""";19105836.28
АРМ СТАЦИОНАРНЫЕ МОДУЛЬНЫЕ ДЛЯ ОБРАБОТКИ ЗВУКА;01.13.01.01.02.02;;11;;;405948.98;13533.33;392415.65;2;1;1;2;2;4923657;392415.65;39;152591862.5;3796;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автоматизации и информационных технологий № 20»;2500900
ШПАТЕЛИ;01.11.02.02.03.13;;11;;;3101738.23;2729421.23;372317;79;47;32;54;55;4899871;338986.42;78;716130507;6705;Государственное бюджетное учреждение города Москвы «Жилищник района Москворечье-Сабурово»;20974581.77
КУВАЛДЫ;01.11.02.02.03.14;;11;;;934256.66;599938.7;334317.96;39;16;23;32;29;4739620;240000;818;11857168563;8981996;"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""";23270891.32
МОЛОТКИ;01.11.02.02.03.15;;11;;;1075030.7;781648.18;293382.52;53;24;29;45;36;4602779;188235.29;818;11857168563;8981996;"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""";16984975.22
ПОСТ СЕСТРИНСКИЙ;01.02.11.03.28;;11;;;270764.86;;270764.86;2;0;2;2;2;4732319;157137.7;657;4054588524;6769;"Государственное бюджетное учреждение здравоохранения города Москвы ""Диагностический центр (центр лабораторных исследований) Департамента здравоохранения города Москвы""";157137.7
ПОЛОТНА ДЛЯ ПИЛ ЛЕНТОЧНЫХ;01.11.02.09.08;;11;;;621669.51;351971.98;269697.53;14;8;6;12;13;4216411;153846.15;94;712761344.4;4702406;Государственное бюджетное учреждение города Москвы «Жилищник района Нагатинский затон»;20974581.77
КУСАЧКИ;01.11.02.02.03.05;;11;;;382799.69;123806.5;258993.19;9;4;5;9;9;4667152;190550.32;794;12442662062;5104;Государственное бюджетное учреждение города Москвы по эксплуатации и ремонту инженерных сооружений «Гормост»;513311620
МОДЕМЫ;01.13.09.02.01;;11;;;40543894.95;40292386.59;251508.36;18;11;7;15;17;4255875;17696032.2;713;10971869960;4612901;"Акционерное общество ""Мосгаз""";90323880.35
ПИЛЫ РУЧНЫЕ;01.11.02.02.03.02;;11;;;596626.28;358857.2;237769.08;25;13;12;21;24;4746351;256728;2238;85801161702;4612763;"Ао ""Мосводоканал""";76625250.97
СТАМЕСКИ;01.11.02.02.03.07;;11;;;260442.86;28314.09;232128.77;15;6;9;13;12;4776990;121948.2;794;12442662062;5104;Государственное бюджетное учреждение города Москвы по эксплуатации и ремонту инженерных сооружений «Гормост»;47931987.75
ДРЕЛИ РУЧНЫЕ ПНЕВМАТИЧЕСКИЕ;01.11.02.01.02.03;;11;;;2260812.25;2039084.52;221727.73;21;11;10;18;11;4609520;1668226.8;2238;85801161702;4612763;"Ао ""Мосводоканал""";247806609.5
ТОПОРЫ;01.11.02.02.03.03;;11;;;445579.94;228967;216612.94;23;13;10;19;19;4899871;106365.84;113;385030273.3;111;Государственное бюджетное учреждение города Москвы «Жилищник района Ломоносовский»;1694716.27
ЛИНЕЙКИ ИЗМЕРИТЕЛЬНЫЕ;01.11.02.03.21;;11;;;219857.14;6355.14;213502;4;2;2;3;4;4898567;188502;672;44922815801;5006;Государственное бюджетное учреждение города Москвы «Автомобильные дороги»;4173190.9
ПИЛЫ ТОРЦОВОЧНЫЕ;01.11.02.01.11.03;;11;;;918502.95;711225.18;207277.77;9;2;7;8;8;4953902;667137.67;554;10366834189;5602014;Государственное бюджетное учреждение города Москвы «Ритуал»;10379010.57
ШЛИФМАШИНЫ;01.11.02.01.08.03;;11;;;2516608.93;2315242.61;201366.32;11;6;5;9;10;4699990;1113373.7;2238;85801161702;4612763;"Ао ""Мосводоканал""";247806609.5
ФИЛЬТРЫ СЕТЧАТЫЕ;01.11.01.04.13;;11;;;852332.47;651492.77;200839.7;6;2;4;6;6;4762834;641766.43;117;2784189883;4612688;"Акционерное общество ""Выставка достижений народного хозяйства""";6260505.47
ИНСТРУМЕНТ РУЧНОЙ ДЛЯ СТЕКОЛЬНЫХ РАБОТ;01.11.02.02.05;;11;;;831234.96;657500.04;173734.92;24;15;9;20;22;4899871;372841.5;113;385030273.3;111;Государственное бюджетное учреждение города Москвы «Жилищник района Ломоносовский»;1694716.27
КЛЮЧИ ГАЕЧНЫЕ КОМБИНИРОВАННЫЕ;01.11.02.02.07.01.04;;11;;;804774.34;633917.1;170857.24;8;4;4;6;8;4723444;547995.6;2238;85801161702;4612763;"Ао ""Мосводоканал""";76625250.97
КЛЕЩИ;01.11.02.02.03.06;;11;;;1040901.24;872882.6;168018.64;24;15;9;18;19;4739620;240000;2238;85801161702;4612763;"Ао ""Мосводоканал""";960411.46
ПОДСТАВКИ МЕДИЦИНСКИЕ;01.02.11.03.29;;11;;;163440.32;;163440.32;11;0;11;11;1;4825924;32448;141;57561076.12;5201;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 143 Департамента здравоохранения города Москвы»;110703656.9
СТРУБЦИНЫ;01.11.02.02.03.10;;11;;;401238.77;239102.46;162136.31;12;7;5;11;9;4655946;142846.8;74;2471619696;5640619;Государственное бюджетное учреждение города Москвы «Единый информационно-расчетный центр города Москвы»;76625250.97
СИФОНЫ САНТЕХНИЧЕСКИЕ;01.11.01.04.10.03;;11;;;160830.67;157.12;160673.55;12;1;11;12;9;4919322;34598.4;634;1765047505;7876;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени А.К. Ерамишанцева Департамента здравоохранения города Москвы»;29310685.71
КЛЮЧИ ТРУБНЫЕ РЫЧАЖНЫЕ;01.11.02.02.07.01.08;;11;;;730199.16;584878.13;145321.03;18;10;8;16;17;4739620;240000;818;11857168563;8981996;"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""";23270891.32
ПАССАТИЖИ;01.11.02.02.03.04;;11;;;415523.27;276568.89;138954.38;22;10;12;20;16;4723444;97476.06;2238;85801161702;4612763;"Ао ""Мосводоканал""";960411.46
УСТРОЙСТВА ХРАНЕНИЯ ДАННЫХ СО СЪЕМНЫМИ ОПТИЧЕСКИМИ НОСИТЕЛЯМИ АВТОНОМНЫЕ;01.13.05.04;;11;;;147180.45;18976.14;128204.31;11;4;7;11;11;4452291;77868;818;11857168563;8981996;"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""";
