NAME;CODE;isFinal_kpgz;status;IS_STANDARD_PRODUCT;DELETED_DATE;KPGZ_SUM;KPGZ223_SUM;KPGZ44_SUM;CON_COUNT;CON223_COUNT;CON44_COUNT;CUSTOMER_COUNT;SUPPLIER_COUNT;MAX_CON_ID;MAX_CON_SUM;MAX_CUSTOMER_CON_COUNT;MAX_CUSTOMER_SUM;MAX_CUSTOMER_ID;FORMATTED_NAME;MAX_SUPPLIER_SUM
ЧЕЧЕВИЦА СУШЕНАЯ;01.01.01.01.13;;1;1;;392146,82;26293,33;365853,49;13;6;7;6;11;4960179;164361,56;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
НУТ СУШЕНЫЙ;01.01.01.01.15;;1;1;;5245,35;5245,35;0;2;2;0;2;2;4581900;3660;1999;1909870938;1073;Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»;547110,5
ФАСОЛЬ СУШЕНАЯ;01.01.01.01.16;;1;1;;3409840,58;190267,02;3219573,56;29;17;12;17;22;4936575;1524094,34;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
МУКА ПШЕНИЧНАЯ;01.01.01.02.01.01;;1;1;;10262214,64;2959339,07;7302875,57;73;18;55;49;37;4936575;1984015,86;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
МУКА ПШЕНИЧНО-РЖАНАЯ;01.01.01.02.01.03.01;;1;1;;92550;0;92550;1;0;1;1;1;4082521;92550;13;28055414,84;1111;Государственное бюджетное учреждение города Москвы «Спортивная школа олимпийского резерва № 65 «Ника» Департамента спорта города Москвы;668658931,5
МУКА РЖАНАЯ;01.01.01.02.01.05;;1;1;;566725,66;332681,7;234043,96;9;5;4;6;7;4653668;235334,4;372;591642574,8;4613074;"Гуп ""Медицинский центр""";20185259,01
МУКА КУКУРУЗНАЯ;01.01.01.02.01.07;;1;1;;201052;1152;199900;2;1;1;2;2;4301545;199900;38;31037406,15;388;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж сферы услуг № 10»;15690742,42
МУКА (ПУДРА)МИНДАЛЬНАЯ;01.01.01.02.01.22;;1;1;;225356,35;110783,3;114573,05;7;4;3;3;3;4828275;56616,8;144;224732846,9;4763;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс запад»;20920124,82
МУКА ПШЕНИЧНАЯ ВИТАМИНИЗИРОВАННАЯ;01.01.01.02.01.23;;1;1;;5189352,55;0;5189352,55;7;0;7;1;4;4953806;1964896,16;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
КРАХМАЛ;01.01.01.02.03.01;;1;1;;2921097,82;169487,1;2751610,72;34;17;17;25;22;4936575;1526297,49;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ПАТОКА КРАХМАЛЬНАЯ;01.01.01.02.03.03;;1;1;;40346,13;0;40346,13;2;0;2;1;2;4828275;36678,3;144;224732846,9;4763;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс запад»;20920124,82
МЮСЛИ;01.01.01.03;;1;1;;1484640,41;13262,4;1471378,01;7;2;5;5;7;4936575;712421,37;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ЗАВТРАКИ ГОТОВЫЕ;01.01.01.04;;1;1;;1901132,83;24774,8;1876358,03;6;1;5;4;5;4315612;596099,23;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;476802510,9
САХАР БЕЛЫЙ СВЕКЛОВИЧНЫЙ;01.01.01.05.01.04.01;;1;1;;36206487,27;2068561,14;34137926,13;78;20;58;52;36;4950138;7293506,11;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;3117215,96
САХАР БЕЛЫЙ ТРОСТНИКОВЫЙ;01.01.01.05.01.04.02;;1;1;;1310344,93;96448,68;1213896,25;8;6;2;7;7;4936575;1194580;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
САХАР КОРИЧНЕВЫЙ ТРОСТНИКОВЫЙ;01.01.01.05.01.05.02;;1;1;;21030,1;0;21030,1;2;0;2;1;2;4354866;16391,7;144;224732846,9;4763;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс запад»;20920124,82
СОЛЬ ПИЩЕВАЯ;01.01.01.05.02;Yes;1;1;;3016998,55;635990,83;2381007,72;82;26;56;48;38;4936575;625961,09;291;563641660,7;243;Государственное бюджетное учреждение здравоохранения города Москвы «Центр планирования семьи и репродукции Департамента здравоохранения города Москвы»;668658931,5
ЗАМЕНИТЕЛИ САХАРА;01.01.01.05.03;;1;1;;1623087,05;0;1623087,05;8;0;8;2;7;4960179;690781,21;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
СОУСЫ НА БУЛЬОНЕ;01.01.01.06.01;Yes;1;1;;453;453;0;2;2;0;1;1;4697506;300;383;193580730,7;2067;Государственное бюджетное учреждение культуры города Москвы «Московский международный дом музыки»;26743895,14
ПАСТЫ ТОМАТНЫЕ;01.01.01.06.03;;1;1;;10593458,79;705158,32;9888300,47;74;18;56;47;36;4936575;2347258,53;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
СОУСЫ НА ОСНОВЕ ХРЕНА;01.01.01.06.04;;1;1;;314788,24;159958,99;154829,25;19;11;8;9;14;4960179;107244;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
СОУСЫ НА РАСТИТЕЛЬНОМ МАСЛЕ;01.01.01.06.07;;1;1;;1723110,38;28631,08;1694479,3;13;4;9;9;5;4950138;883261,55;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;668658931,5
СОУСЫ НА УКСУСЕ;01.01.01.06.08;;1;1;;15810,66;9069;6741,66;5;4;1;4;2;4294872;6741,66;144;224732846,9;4763;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс запад»;26743895,14
КЕТЧУПЫ;01.01.01.06.09.01;;1;1;;1130577,37;443351,13;687226,24;32;17;15;17;18;4960179;199900;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
ОВОЩНЫЕ СОУСЫ;01.01.01.06.09.02;;1;1;;409672,73;76712,92;332959,81;10;7;3;6;7;4315541;249764,94;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;476802510,9
СОУСЫ СОЕВЫЕ;01.01.01.06.10;;1;1;;398680,72;150637,56;248043,16;16;11;5;11;8;4301545;199900;38;31037406,15;388;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж сферы услуг № 10»;15690742,42
СОУСЫ ФРУКТОВЫЕ И ЯГОДНЫЕ, СОУСЫ-ТОППИНГИ ДЕСЕРТНЫЕ;01.01.01.06.11;;1;1;;12117;12117;0;4;4;0;3;2;4809213;8496;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";31783419,12
МАЙОНЕЗ;01.01.01.06.12.01;;1;1;;7312007,32;1671893,63;5640113,69;33;18;15;19;21;4936575;2648458,92;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
СОУСЫ МАЙОНЕЗНЫЕ;01.01.01.06.12.02;;1;1;;255142,45;216732,33;38410,12;7;5;2;6;5;4582562;202304;144;289270465;4682664;"Государственное унитарное предприятие города Москвы ""Большой Московский государственный цирк на проспекте вернадского""";67415191,55
МЕД;01.01.01.07;;1;1;;2497179,67;337586,91;2159592,76;28;13;15;16;18;4960179;689806,97;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
МАКАРОНЫ, ЛАПША И АНАЛОГИЧНЫЕ МУЧНЫЕ ИЗДЕЛИЯ;01.01.01.11;;1;1;;24618837,27;1627559,08;22991278,19;80;21;59;51;37;4936575;6546910,63;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
МАСЛО ПОДСОЛНЕЧНОЕ РАФИНИРОВАННОЕ;01.01.01.12.01.01;;1;1;;36285581,87;3041875,3;33243706,57;85;24;61;54;42;4936575;6683690,88;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
МАСЛО ПОДСОЛНЕЧНОЕ НЕРАФИНИРОВАННОЕ;01.01.01.12.01.02;;1;1;;850083,13;119384,97;730698,16;12;5;7;7;9;4936575;614344,64;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
МАСЛО СОЕВОЕ;01.01.01.12.01.03;;1;1;;75724,73;0;75724,73;1;0;1;1;1;4315612;75724,73;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;3147758700
МАСЛО ОЛИВКОВОЕ;01.01.01.12.01.06;;1;1;;938793,31;86913,32;851879,99;14;7;7;9;11;4315612;433075,71;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;476802510,9
МАСЛО КУКУРУЗНОЕ;01.01.01.12.01.07;;1;1;;695040;695040;0;1;1;0;1;1;4902529;695040;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";4821718,43
МАСЛО КУНЖУТНОЕ;01.01.01.12.01.09;;1;1;;31652,58;28993,08;2659,5;6;4;2;4;4;4902529;22421,88;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";4821718,43
МАРГАРИН;01.01.01.12.03.01;;1;1;;2162352,67;980252,18;1182100,49;18;9;9;11;14;4960179;572220,87;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
МАСЛО СЛИВОЧНОЕ;01.01.01.12.04.01;;1;1;;244856612,4;9534971,61;235321640,8;91;23;68;62;40;4936575;52244557,51;291;563641660,7;243;Государственное бюджетное учреждение здравоохранения города Москвы «Центр планирования семьи и репродукции Департамента здравоохранения города Москвы»;668658931,5
МАСЛО ТОПЛЕНОЕ;01.01.01.12.04.03;;1;1;;7560;7560;0;1;1;0;1;1;4523360;7560;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";14556413,92
ПРИПРАВЫ И ПРЯНОСТИ СМЕШАННЫЕ;01.01.01.13.01;;1;1;;1134559,63;457388,83;677170,8;28;17;11;15;18;4936575;305469,52;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ВАНИЛЬ ОБРАБОТАННАЯ;01.01.01.13.02.01;;1;1;;19568,21;0;19568,21;1;0;1;1;1;4294872;19568,21;144;224732846,9;4763;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс запад»;26743895,14
ЛИСТ ЛАВРОВЫЙ СУШЕНЫЙ;01.01.01.13.02.02;;1;1;;510084,06;54438,2;455645,86;46;15;31;29;27;4960179;179354,86;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
ПЕРЕЦ ОБРАБОТАННЫЙ;01.01.01.13.02.03;;1;1;;842137,75;243646,94;598490,81;31;18;13;16;20;4936575;300040,65;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ПРЯНОСТИ ОБРАБОТАННЫЕ ПРОЧИЕ;01.01.01.13.02.99;;1;1;;632928,36;108100,16;524828,2;26;13;13;15;15;4960179;348137,04;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
УКСУС ПИЩЕВОЙ И ЕГО ЗАМЕНИТЕЛИ, ПОЛУЧАЕМЫЕ ИЗ УКСУСНОЙ КИСЛОТЫ;01.01.01.14.01.01;;1;1;;428131,12;37627,28;390503,84;26;13;13;13;17;4936575;199900;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
КИСЛОТА УКСУСНАЯ ПИЩЕВАЯ;01.01.01.14.01.02;;1;1;;16144,5;15253,5;891;4;3;1;3;4;4653668;8937,6;372;591642574,8;4613074;"Гуп ""Медицинский центр""";20185259,01
ПОРОШОК ГОРЧИЧНЫЙ;01.01.01.14.02.01;;1;1;;173009,22;147659,3;25349,92;8;4;4;6;8;4313598;125984,3;233;596286189,8;6535;Государственное бюджетное учреждение здравоохранения города Москвы «Центр лекарственного обеспечения Департамента здравоохранения города Москвы»;5576577
ГОРЧИЦА ГОТОВАЯ;01.01.01.14.02.02;;1;1;;454620,79;211972,88;242647,91;28;14;14;14;17;4936575;99591,54;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ОРЕХИ ГРЕЦКИЕ;01.01.01.16.01.01;;1;1;;829302,75;763268,15;66034,6;19;16;3;12;14;4434690;178488;372;591642574,8;4613074;"Гуп ""Медицинский центр""";7128100
ОРЕХИ КЕДРОВЫЕ;01.01.01.16.01.02;;1;1;;286084,26;255935,05;30149,21;4;3;1;4;4;4569158;225700;1999;1909870938;1073;Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»;599155
ОРЕХИ МИНДАЛЯ СЛАДКОГО;01.01.01.16.01.03;;1;1;;45844,9;35511,6;10333,3;3;2;1;3;3;4434690;31191,6;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";147298869,7
ОРЕХИ ЛЕЩИНЫ (ФУНДУК);01.01.01.16.01.04;;1;1;;340692,3;312350,7;28341,6;5;4;1;5;5;4569158;175275;1999;1909870938;1073;Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»;599155
ОРЕХИ ФИСТАШКОВЫЕ;01.01.01.16.01.05;;1;1;;11715,34;11715,34;0;2;2;0;2;2;4434690;7715,3;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";147298869,7
ОРЕХИ КЕШЬЮ;01.01.01.16.01.06;;1;1;;13195,5;13195,5;0;2;2;0;2;2;4434690;6675,5;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";147298869,7
ОРЕХИ ПЕКАН;01.01.01.16.01.07;;1;1;;2177,8;2177,8;0;1;1;0;1;1;4434690;2177,8;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";147298869,7
ОРЕХИ КОКОСОВЫЕ;01.01.01.16.01.08;;1;1;;3890,8;0;3890,8;1;0;1;1;1;4294877;3890,8;144;224732846,9;4763;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс запад»;26743895,14
ОРЕХИ БРАЗИЛЬСКИЕ;01.01.01.16.01.09;;1;1;;22954;22954;0;1;1;0;1;1;4569158;22954;1999;1909870938;1073;Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»;599155
АРАХИС СВЕЖИЙ;01.01.01.16.02;;1;1;;150830,4;125112,2;25718,2;8;5;3;6;7;4569158;65026;1999;1909870938;1073;Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»;599155
ПЛОДЫ ОРЕХОВЫХ КУЛЬТУР ОБРАБОТАННЫЕ, ПАСТА ОРЕХОВАЯ;01.01.01.16.03;;1;1;;3181713,91;562992,62;2618721,29;20;10;10;8;14;4960179;1395844,69;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
СЕМЕНА МАСЛИЧНЫЕ И МАСЛОСОДЕРЖАЩИЕ ПЛОДЫ;01.01.01.17;;1;1;;203236,58;202726,36;510,22;18;17;1;11;9;4697400;42298,27;372;591642574,8;4613074;"Гуп ""Медицинский центр""";10548300
КОМПЛЕКСНЫЕ ПИЩЕВЫЕ ДОБАВКИ;01.01.01.18;Yes;1;1;;5301506,1;1501712,77;3799793,33;49;27;22;24;34;4936575;2650679,69;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ФИТОЧАЙ;01.01.01.19.01.01;;1;1;;468986,74;35349,27;433637,47;14;6;8;9;11;4936575;150972;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ЧАЙНЫЕ НАПИТКИ РАСТВОРИМЫЕ;01.01.01.19.01.02;;1;1;;23783,58;23783,58;0;1;1;0;1;1;4167177;23783,58;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";31783419,12
ЧАЙ ЗЕЛЕНЫЙ (НЕФЕРМЕНТИРОВАННЫЙ);01.01.01.19.01.03;;1;1;;940256,32;266170,13;674086,19;26;14;12;12;21;4960179;225142,16;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
ЧАЙ ЧЕРНЫЙ (ФЕРМЕНТИРОВАННЫЙ);01.01.01.19.01.04;;1;1;;19922179,88;1091090,15;18831089,73;73;18;55;47;38;4936575;2762893,98;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ЧАЙ ФРУКТОВЫЙ, ЧАЙ ЧАСТИЧНО ФЕРМЕНТИРОВАННЫЙ, ЧАЙ ПУЭР, ЧАЙ МАТЕ;01.01.01.19.01.07;;1;1;;993705,37;173741,5;819963,87;21;11;10;9;17;4960179;389773,27;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
ЧАЙ В НАБОРАХ;01.01.01.19.01.08;;1;1;;279757,1;0;279757,1;2;0;2;2;2;4340999;165891,1;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;3117215,96
ЧАЙ ХОЛОДНЫЙ;01.01.01.19.01.09;;1;1;;870727,62;304659,48;566068,14;4;3;1;3;4;4315938;566068,14;144;224732846,9;4763;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс запад»;7435889,12
КОФЕ ЖАРЕНЫЙ;01.01.01.19.02;;1;1;;2769781,41;1302705,5;1467075,91;15;6;9;10;12;4828608;864214,38;933;44649785952;5065;"Государственное унитарное предприятие города Москвы ""Московский ордена ленина и ордена трудового красного знамени метрополитен имени В.И. Ленина""";4133521,27
КОФЕЙНЫЙ НАПИТОК РАСТВОРИМЫЙ;01.01.01.19.03;;1;1;;7400418,92;154758,12;7245660,8;46;6;40;30;26;4936575;1584969,95;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
КАКАО-ПОРОШОК;01.01.01.19.04;;1;1;;7464003,16;777199,16;6686804;63;15;48;41;35;4936575;1643096,86;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ЦИКОРИЙ РАСТВОРИМЫЙ;01.01.01.19.05.01;;1;1;;805288;0;805288;3;0;3;2;2;4988071;282004,5;608;2537642570;3942;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени Д.Д. Плетнёва Департамента здравоохранения города Москвы»;110817531,9
ЦИКОРИЙ РАСТВОРИМЫЙ, ЖИДКИЙ ЭКСТРАКТ;01.01.01.19.05.02;;1;1;;94500;0;94500;1;0;1;1;1;4153925;94500;676;1885632153;7876;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени А.К. Ерамишанцева Департамента здравоохранения города Москвы»;110817531,9
КОФЕ РАСТВОРИМЫЙ;01.01.01.19.06;;1;1;;2693258,93;542585,28;2150673,65;27;12;15;13;19;4960179;1172902,91;933;44649785952;5065;"Государственное унитарное предприятие города Москвы ""Московский ордена ленина и ордена трудового красного знамени метрополитен имени В.И. Ленина""";4133521,27
ДРОЖЖИ ХЛЕБОПЕКАРНЫЕ ПРЕССОВАННЫЕ;01.01.01.21.01;;1;1;;81774,81;37561,33;44213,48;10;3;7;4;9;4960179;20793,86;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
ДРОЖЖИ ХЛЕБОПЕКАРНЫЕ СУШЕНЫЕ;01.01.01.21.02;;1;1;;1385698,72;388787,03;996911,69;44;17;27;32;23;4936575;543369,49;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
КАРТОФЕЛЬ ПРОДОВОЛЬСТВЕННЫЙ;01.01.02.01.01.01;;1;1;;128217429,5;4952682,36;123264747,1;96;28;68;57;37;4936575;20965626,52;291;563641660,7;243;Государственное бюджетное учреждение здравоохранения города Москвы «Центр планирования семьи и репродукции Департамента здравоохранения города Москвы»;668658931,5
БАТАТ (КАРТОФЕЛЬ СЛАДКИЙ);01.01.02.01.01.02;;1;1;;105872,5;105872,5;0;3;3;0;1;3;4740314;54200;1999;1909870938;1073;Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»;21728926,38
КАРТОФЕЛЬ ПЕРЕРАБОТАННЫЙ;01.01.02.01.02;;1;1;;437899,4;409534,4;28365;9;8;1;7;6;4458116;93600;144;289270465;4682664;"Государственное унитарное предприятие города Москвы ""Большой Московский государственный цирк на проспекте вернадского""";4821718,43
ЛУК ЗЕЛЕНЫЙ;01.01.02.02.01;;1;1;;8718975,8;501839,03;8217136,77;62;26;36;35;28;4936575;2629278,1;291;563641660,7;243;Государственное бюджетное учреждение здравоохранения города Москвы «Центр планирования семьи и репродукции Департамента здравоохранения города Москвы»;668658931,5
ЛУК-ПОРЕЙ;01.01.02.02.02;;1;1;;996292,72;351963;644329,72;17;7;10;10;9;4953806;265484,61;1560;14299200400;863;Государственное казенное учреждение города Москвы «Дирекция по обеспечению деятельности организаций труда и социальной защиты населения города Москвы»;22167429,5
ЛУК РЕПЧАТЫЙ;01.01.02.02.03;;1;1;;18664128,4;1496419,13;17167709,27;94;29;65;57;37;4936575;4401071,17;291;563641660,7;243;Государственное бюджетное учреждение здравоохранения города Москвы «Центр планирования семьи и репродукции Департамента здравоохранения города Москвы»;668658931,5
ЛУК-ШАЛОТ;01.01.02.02.04;;1;1;;7849,4;7025,2;824,2;2;1;1;2;2;4730953;7025,2;40;68056009,55;4613078;"Государственное унитарное предприятие города Москвы ""Комбинат питания финансово-хозяйственного управления мэрии Москвы""";147298869,7
ЛУК-ШНИТТ;01.01.02.02.05;;1;1;;250,5;0;250,5;1;0;1;1;1;4828299;250,5;144;224732846,9;4763;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс запад»;20920124,82
ЧЕСНОК;01.01.02.03;;1;1;;2197406,75;291342,65;1906064,1;44;27;17;21;21;4936575;888377,94;383;1697853978;8667441;Государственное бюджетное учреждение города Москвы «Московский городской трест геолого-геодезических и картографических работ»;
ПЕТРУШКА;01.01.02.04;;1;1;;16119680,1;918427,63;15201252,47;79;28;51;47;35;4936575;2337397,79;291;563641660,7;243;Государственное бюджетное учреждение здравоохранения города Москвы «Центр планирования семьи и репродукции Департамента здравоохранения города Москвы»;668658931,5
